name,stationcode,ebike,mechanical,x,y,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Rouget de L'isle - Watteau,44015,0,0,2.3963020229163,48.778192750803,2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-05-26T16:22:00.535Z
Le Brun - Gobelins,13007,1,4,2.3534681351338,48.835092787824,2023-05-26T15:38:55+00:00,5,43,48,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,2.4530601033354,48.908168131015,2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-05-26T16:22:00.535Z
Lacépède - Monge,5110,0,1,2.3519663885235786,48.84389286531899,2023-05-26T15:45:45+00:00,1,20,23,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Saint-Romain - Cherche-Midi,6108,0,4,2.321374788880348,48.84708159081946,2023-05-26T15:45:50+00:00,4,13,17,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Beaux-Arts - Bonaparte,6021,5,3,2.334851883351803,48.856451985395786,2023-05-26T15:45:46+00:00,8,11,20,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Silly - Galliéni,21010,0,20,2.2325500845909,48.835583838706,2023-05-26T15:45:17+00:00,20,5,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-26T16:22:00.535Z
Place Nelson Mandela,25006,2,0,2.196576297283173,48.862090937689715,2023-05-26T15:45:35+00:00,2,19,22,OUI,OUI,Rueil-Malmaison,OUI,2023-05-26T16:22:00.535Z
Grande Armée - Brunel,17038,2,1,2.288124,48.876116,2023-05-26T15:44:57+00:00,3,56,62,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Guersant - Gouvion-Saint-Cyr,17041,7,4,2.287667370814871,48.88287775178599,2023-05-26T15:46:15+00:00,11,25,36,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Jouffroy d'Abbans - Wagram,17026,3,2,2.301132157445,48.881973298352,2023-05-26T15:44:16+00:00,5,18,40,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Croulebarde - Corvisart,13101,2,2,2.3481646925210953,48.830981659316855,2023-05-26T15:45:37+00:00,4,30,34,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Le Brix et Mesmin - Jourdan,14108,2,0,2.327861653302471,48.82234096593411,2023-05-26T15:40:23+00:00,2,19,21,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
